id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
211,CHXR 73 b,621,12.569 Jupiters,,2006
212,CI Tauri b,515,11.6 Jupiters,13.642,2019
213,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
214,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
215,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
216,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
217,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
218,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
219,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
220,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
221,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
222,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
223,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
224,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
225,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
226,BD+55 362 b,171,0.72 Jupiters,9.38,2021
227,BD+60 1417 b,147,15 Jupiters,9.374,2021
228,BD+63 1405 b,124,10.4 Jupiters,8.96,2021
229,Beta Cancri b,290,7.8 Jupiters,3.51012,2014
230,Beta Pictoris b,64,11.729 Jupiters,3.85,2008
231,Beta Pictoris c,64,10.139 Jupiters,3.85,2019
232,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014
233,CD Ceti b,28,3.95 Earths,13.95,2020
234,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011
235,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021
236,CHXR 73 b,621,12.569 Jupiters,,2006
237,CI Tauri b,515,11.6 Jupiters,13.642,2019
238,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021
239,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010
240,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010
241,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
242,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
243,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
244,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
245,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
246,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
247,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
248,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
249,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
